key,total_stream_occurrences,pct_occurrences
1,622,12.351072279586974
0,563,11.179507545671168
7,484,9.610802223987292
2,463,9.193804606830819
5,432,8.578236695790311
11,426,8.459094519459889
9,415,8.24066719618745
8,391,7.7640984908657655
6,388,7.704527402700556
10,346,6.8705321683876095
4,331,6.572676727561556
3,174,3.4551231135822085
NA,1,0.019857029388403495
